name,url,remote_testing,adaptive_irt,test_types,description,job_levels,duration,languages,key_features,source
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,TRUE,FALSE,Ability & Aptitude; Assessment Exercises; Biodata & Situational Judgement; Competencies; Development & 360; Personality & Behavior,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",Director; Entry-Level; Executive; General Population; Graduate; Manager; Mid-Professional; Front Line Manager; Supervisor,,English,Cognitive ability assessment; Situational judgment test; Competency-based assessment; Personality assessment,Individual Test Solutions
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,TRUE,TRUE,Knowledge & Skills,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",Professional Individual Contributor; Mid-Professional,Approximate Completion Time in minutes = 30,English (USA),Job-specific knowledge assessment,Individual Test Solutions
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 17,English (USA),Job-specific knowledge assessment,Individual Test Solutions
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 11,English (USA),Job-specific knowledge assessment,Individual Test Solutions
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,TRUE,FALSE,Knowledge & Skills,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 5,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,TRUE,FALSE,Knowledge & Skills,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 9,English (USA),Job-specific knowledge assessment,Individual Test Solutions
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,TRUE,FALSE,Simulations,Simulated data entry test that measures the ability to process payables and vendor invoices.,Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 8,English (USA),Interactive simulation,Individual Test Solutions
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,TRUE,FALSE,Knowledge & Skills,Multiple-choice test that measures the knowledge of processing receivables and invoices.,Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Approximate Completion Time in minutes = 13,English (USA),Job-specific knowledge assessment,Individual Test Solutions
